domain_sl	sent_en
eur-lex.europa.eu	402258
www.europarl.europa.eu	121745
www.rumenestrani.si	93451
oblacila.si	57726
www.uradni-list.si	40469
www.gov.si	26497
www.eu2008.si	26384
www.slovenia.info	22956
www.jw.org	17652
ec.europa.eu	16683
bsi.azurewebsites.net	16199
www.policija.si	15975
ricinus2.mf.uni-lj.si	15942
support.apple.com	15771
www.us-rs.si	15425
www.ung.si	14819
www.ecb.europa.eu	13553
support.microsoft.com	13350
www.booking.com	13017
europa.eu	12577
lek.si	12426
dk.um.si	12221
www.mt.com	11732
www.kibla.org	11333
nl.ijs.si	10876
www.scca-ljubljana.si	10476
www.microsoft.com	10348
www.sloveniaholidays.com	10342
support.mozilla.org	10046
kazalci.arso.gov.si	9914
www.arrs.si	9724
www.worldofart.org	9501
www.tutorialcup.com	9236
www.spacescoop.org	8557
www.up-rs.si	8507
www.slotrips.si	8445
test2.1ka.si	8243
www.ribiskekarte.si	7906
www.bankingsupervision.europa.eu	7859
www.stoja-trade.si	7742
www.samsung.com	7718
www.gremonapot.si	7371
www.fdv.uni-lj.si	7342
www.privatapartmajihrvaska.si	7069
www.e-arhiv.org	7052
www2.gov.si	6872
www.uni-lj.si	6834
fe.uni-lj.si	6768
www.cityofwomen.org	6565
www.ourspace.si	6519
medrazgl.si	6502
www.vipavskadolina.si	6400
galerijalkatraz.org	6323
www.coloursofistria.com	6302
pisrs.si	6233
www.racunovodja.com	6227
repozitorij.ung.si	6166
kraji.eu	6136
www.mg-lj.si	6128
efnet.si	6073
www.teozofija.info	5899
spot.gov.si	5622
www.film-center.si	5510
www.fromaustria.com	5508
party.si	5396
onlinemanual.nikonimglib.com	5338
www.husqvarna.com	5324
www.pokerstars.eu	5259
www.ntf.uni-lj.si	5206
bsf.si	5173
www.avtokampi.si	5159
www.eipf.si	4947
www2.arnes.si	4869
dirros.openscience.si	4728
m.amway.si	4721
op.europa.eu	4670
kumba.agrft.uni-lj.si	4603
www.rtvslo.si	4590
support.polar.com	4515
www.tasteslovenia.si	4484
www.nib.si	4441
www.ef.uni-lj.si	4378
www.biblija.net	4195
www.umar.gov.si	4193
www.goopti.com	4181
www.nlb.si	4118
www.radolca.si	4094
www.paypal.com	4063
www.cesa-project.si	3998
www.ustvarjalneideje.si	3983
www.plus500.si	3945
convertlive.com	3923
regionalgoriska.si	3861
bsi.si	3814
www.bokal-sport.si	3813
fotoformat.si	3809
curia.europa.eu	3788
www.seviqc-brezice.si	3783
www.hajdi.si	3769
www.mglc-lj.si	3768
www.malinca.si	3764
mrezni-muzej.mg-lj.si	3756
cor.europa.eu	3750
www.optiweb.com	3648
galerijahest.si	3557
slovenia-outdoor.com	3541
www.najdi.si	3497
hozana.si	3482
dk.mors.si	3463
zupnija-lucija-portoroz.rkc.si	3404
www.vf.uni-lj.si	3382
pefprints.pef.uni-lj.si	3365
nova.maska.si	3359
www.predsednik.si	3340
www.bsi.si	3328
www.sonce-nepremicnine.si	3292
www.visitmaribor.si	3233
www.bosch-home.com	3216
mg-lj.si	3201
www.metabo.com	3192
www.bled.si	3179
www.eesc.europa.eu	3170
siol.net	3149
www.playstation.com	3107
www.pisrs.si	3104
nova24tv.si	3084
www.eles.si	3076
www.jskd.si	3054
www.1ka.si	3025
www.2010-2016.borstnikovo.si	3022
osha.europa.eu	3005
odeja.si	2970
pikolin.shopamine.si	2962
www.gzs.si	2904
selih.si	2881
www.etno-muzej.si	2834
si.loccitane.com	2808
www.visitljubljana.com	2756
www.novak-m.com	2756
wiki.documentfoundation.org	2738
www.ljubljana.si	2730
www.vsi.si	2718
consumer.huawei.com	2711
www.famnit.upr.si	2672
regionalobala.si	2649
journals.openedition.org	2648
www.telekom.si	2646
