domain_hr	sent_en
eur-lex.europa.eu	250653
www.europarl.europa.eu	96014
www.adriatic.hr	89025
mzos.hr	63414
narodne-novine.nn.hr	60987
support.apple.com	53391
www.arriva.com.hr	41900
www.bib.irb.hr	31519
hrcak.srce.hr	23070
www.gohome.hr	22216
prijatelji-zivotinja.hr	19827
www.storyboardthat.com	16877
nekretnine-stangrad.hr	16544
diamond-realestate.hr	13736
www.havc.hr	12916
getbybus.com	12751
ec.europa.eu	12665
biblija.biblija-govori.hr	12164
matis.hr	11892
zagrebdox.net	11496
vanipedia.org	11425
annatours.hr	11006
croatia.hr	10665
animafest.hr	10242
www.living-democracy.com	9993
www.prijatelji-zivotinja.hr	9710
www.booking.com	9632
www.realitica.com	9585
www.mt.com	9479
www.microsoft.com	9280
www.oglasnik.hr	9090
www.machineseeker.hr	8912
www.lg.com	8795
ara.srce.hr	8744
www.naucat.com	8718
europa.eu	8702
esavjetovanja.gov.hr	8692
www.ecb.europa.eu	8457
www.ecco-verde.hr	8299
www.centarzdravlja.hr	7952
www.svjedocanstva.com	7915
judo.hr	7696
broker.hr	7676
www.livecamcroatia.com	7598
www.samsung.com	7193
repozitorij.efos.hr	7082
worlddogfinder.com	6878
arhiva.nacional.hr	6836
www.media-marketing.com	6762
www.terradalmatica.hr	6721
www.nsk.hr	6619
www.domus-nekretnine.hr	6602
adriacamps.com	6565
odjeca.hr	6492
hns-cff.hr	6427
www.pmf.unizg.hr	6166
support.microsoft.com	6102
www.carngo.com	5934
www.husqvarna.com	5834
www.ferit.unios.hr	5661
www.camping.hr	5651
domino-realestate.hr	5553
www.sabor.hr	5552
www.thursdaycooking.com.hr	5484
www.bankingsupervision.europa.eu	5352
www.annatours.hr	5293
www.valamar.com	5193
www.coloursofistria.com	5159
www.thule.com	5155
nastava.ktf-split.hr	5110
cor.europa.eu	5024
help.eset.com	4931
rijeka2020.eu	4925
www.perun.hr	4868
www.magic-croatia.hr	4681
medjugorje.hr	4648
www.animafest.hr	4619
www.istra.hr	4422
www.croatiaopen.hr	4340
zeljko-heimer-fame.from.hr	4336
m.metro-portal.hr	4323
www.sumari.hr	4285
repozitorij.foi.unizg.hr	4165
www.apartmanija.hr	4096
www.premium-nekretnine.com	4077
vatropromet.hr	4033
www.index.hr	4024
balkangreenenergynews.com	3945
www.kvarner.hr	3917
www.medjugorje.hr	3706
m.amway.hr	3653
www.poliklinika-djeca.hr	3550
www.tportal.hr	3500
apps.apple.com	3461
www.visitzagrebcounty.hr	3374
op.europa.eu	3367
www.irb.hr	3348
www.chem.pmf.hr	3289
avioradar.hr	3262
joda-nekretnine.hr	3257
mail.drame.hr	3247
nekretnineaurea.hr	3206
express.24sata.hr	3202
www.trazimsmjestaj.com	3170
repository.efri.uniri.hr	3164
www.zeljko-heimer-fame.from.hr	3153
www.crnojaje.hr	3149
drame.hr	3137
www.valfresco.com	3124
www.azvo.hr	3097
www.pharma.unizg.hr	3078
www.energetika-net.com	3074
janica.hr	3042
www.malinca.hr	3003
www.otok-hvar.hr	3001
www.muziker.hr	2999
repozitorij.ffos.hr	2980
www.fdmz.hr	2937
consumer.huawei.com	2889
www.fer.unizg.hr	2879
www.chutku.com.hr	2877
www.chemaco.hr	2874
www.kulturpunkt.hr	2824
www.goopti.com	2820
universumcroatia.hr	2784
repozitorij.fsb.hr	2772
www.hde.hr	2762
www.hajdi.hr	2754
hrvatska.poslovniforum.hr	2746
www.vindija.hr	2741
kulinst.hr	2732
www.bekament.com	2726
bagi-immobilien.hr	2721
www.apartmaninfo.hr	2714
mameibebe.biz.hr	2705
repozitorij.efzg.unizg.hr	2683
exclusive-nekretnine.hr	2670
recipe-cpsa.com	2645
www.ab-adrion.hr	2622
www.hep.hr	2606
www.ferienwohnungen-kroatien.net	2588
bookaweb.com	2587
www.srce.unizg.hr	2571
repozitorij.aukos.unios.hr	2565
darhiv.ffzg.unizg.hr	2559
www.pravo.unizg.hr	2538
repozitorij.etfos.hr	2511
lda-sisak.hr	2510
happytovisit.com	2508
www.hfs.hr	2498
www.rezerviraj.hr	2462
www.playstation.com	2451
www.uje.hr	2439
www.algebra.hr	2406
dizajn.hr	2399
www.croatiaairlines.com	2395
www.apartmani-u-beogradu.com	2378
www.bbc.com	2376
www.stemlittleexplorers.com	2372
dnevnik.hr	2362
www.m2nekretnine.hr	2360
www.eesc.europa.eu	2333
www.chem.pmf.unizg.hr	2330
www.drame.hr	2320
www.hkv.hr	2312
hotspots.net.hr	2285
tkojetko.irb.hr	2278
www.nipp.hr	2276
www.pbf.unizg.hr	2263
www.carnet.hr	2257
www.otpbanka.hr	2246
www.sofascore.com	2233
www.bosch-home.com	2232
www.agr.unizg.hr	2231
www.asadria.com	2216
www.galileo.hr	2174
www.exdeo.net	2173
www.esplanade.hr	2154
www.gong.hr	2123
www.eizg.hr	2123
www.atlanticgrupa.com	2121
oie.hr	2120
www.dziv.hr	2117
m.vecernji.hr	2082
www.adriaticsailor.com	2077
www.blog.poliklinikabagatin.hr	2075
www.goethe-verlag.com	2062
childhub.org	2058
ribarstvo.agr.hr	2050
apoliticni.hr	2046
www.panasonic.com	2020
www.ijf.hr	2007
gastro.24sata.hr	2006
www.yuhistorija.com	2002
www.aircon.panasonic.eu	1983
learndigital.withgoogle.com	1978
www.pokerstars.eu	1978
www.cybermed.hr	1967
